instrument,direction,entry_time,exit_time,entry_price,exit_price,size_usd,bars_held,exit_reason,regime_at_entry,gross_pnl,costs,net_pnl,net_pnl_pct,running_equity,drawdown
ARB-USDT-PERP,LONG,2022-09-12 02:00:00+00:00,2022-09-12 04:00:00+00:00,0.8852044374690365,0.8817569874560716,20000.0,2,SL,BULL,-77.89048195063006,20.0,-97.89048195063006,-0.004894524097531503,99902.10951804937,0.0009789048195062787
SUI-USDT-PERP,LONG,2022-09-12 02:00:00+00:00,2022-09-12 04:00:00+00:00,0.44260221873451827,0.4408784937280358,20000.0,2,SL,BULL,-77.89048195063006,20.0,-97.89048195063006,-0.004894524097531503,99804.21903609874,0.0019578096390125573
ARB-USDT-PERP,LONG,2022-09-12 04:00:00+00:00,2022-09-12 06:00:00+00:00,0.8817569874560716,0.8786468583514845,19980.421903609877,2,SL,BULL,-70.47485029138153,19.980421903609876,-90.45527219499141,-0.004527195303050572,99713.76376390376,0.002862362360962434
SUI-USDT-PERP,LONG,2022-09-12 04:00:00+00:00,2022-09-12 06:00:00+00:00,0.4408784937280358,0.43932342917574224,19960.84380721975,2,SL,BULL,-70.4057945217516,19.96084380721975,-90.36663832897135,-0.004527195303050572,99623.39712557479,0.0037660287442521077
ARB-USDT-PERP,LONG,2022-09-14 20:00:00+00:00,2022-09-15 02:00:00+00:00,0.8740504007758002,0.8686381046746807,19924.67942511496,6,SL,BULL,-123.37762750625012,19.92467942511496,-143.30230693136508,-0.00719220138371377,99480.09481864343,0.005199051813565747
SUI-USDT-PERP,LONG,2022-09-14 20:00:00+00:00,2022-09-15 02:00:00+00:00,0.4370252003879001,0.43431905233734036,19924.67942511496,6,SL,BULL,-123.37762750625012,19.92467942511496,-143.30230693136508,-0.00719220138371377,99336.79251171206,0.006632074882879388
ARB-USDT-PERP,LONG,2022-09-15 02:00:00+00:00,2022-09-15 10:00:00+00:00,0.8686381046746807,0.8761329147615277,19896.018963728686,8,TP,BULL,171.66744449151057,37.71033477049176,133.9571097210188,0.006732859973908775,99470.74962143307,0.005292503785669251
SUI-USDT-PERP,LONG,2022-09-15 02:00:00+00:00,2022-09-15 10:00:00+00:00,0.43431905233734036,0.43806645738076383,19867.358502342413,8,TP,BULL,171.42015541458022,37.65601256686281,133.7641428477174,0.006732859973908775,99604.5137642808,0.003954862357192033
ARB-USDT-PERP,LONG,2022-09-16 05:00:00+00:00,2022-09-16 06:00:00+00:00,0.8728598831110923,0.8695085550465265,19920.90275285616,1,SL,BEAR,-76.48590771428172,19.92090275285616,-96.40681046713789,-0.004839480000639808,99508.10695381367,0.004918930461863347
SUI-USDT-PERP,LONG,2022-09-16 05:00:00+00:00,2022-09-16 06:00:00+00:00,0.43642994155554615,0.43475427752326323,19920.90275285616,1,SL,BEAR,-76.48590771428172,19.92090275285616,-96.40681046713789,-0.004839480000639808,99411.70014334653,0.005882998566534662
ARB-USDT-PERP,LONG,2022-09-16 06:00:00+00:00,2022-09-16 07:00:00+00:00,0.8695085550465265,0.868670406971402,19901.621390762735,1,REGIME_FLIP,BEAR,-19.183831560612788,19.901621390762735,-39.08545295137552,-0.0019639330979091428,99372.61469039516,0.006273853096048406
SUI-USDT-PERP,LONG,2022-09-16 06:00:00+00:00,2022-09-16 07:00:00+00:00,0.43475427752326323,0.434335203485701,19882.340028669307,1,REGIME_FLIP,BEAR,-19.16524561751816,19.882340028669308,-39.04758564618747,-0.001963933097909143,99333.56710474897,0.006664328952510259
ARB-USDT-PERP,LONG,2022-09-16 09:00:00+00:00,2022-09-16 10:00:00+00:00,0.8665704308306978,0.8634277076722436,19866.713420949796,1,SL,BEAR,-72.04905467469153,19.866713420949797,-91.91576809564133,-0.004626621733955982,99241.65133665333,0.007583486633466673
SUI-USDT-PERP,LONG,2022-09-16 09:00:00+00:00,2022-09-16 10:00:00+00:00,0.4332852154153489,0.4317138538361218,19866.713420949796,1,SL,BEAR,-72.04905467469153,19.866713420949797,-91.91576809564133,-0.004626621733955982,99149.73556855769,0.008502644314423087
ARB-USDT-PERP,LONG,2022-09-16 10:00:00+00:00,2022-09-16 11:00:00+00:00,0.8634277076722436,0.8692092018846376,19848.330267330668,1,REGIME_FLIP,BEAR,132.9040121675314,19.848330267330667,113.05568190020072,0.00569597947925547,99262.79125045789,0.007372087495421147
SUI-USDT-PERP,LONG,2022-09-16 10:00:00+00:00,2022-09-16 11:00:00+00:00,0.4317138538361218,0.4346046009423188,19829.94711371154,1,REGIME_FLIP,BEAR,132.78091894813372,19.82994711371154,112.95097183442218,0.005695979479255471,99375.7422222923,0.006242577777076949
ARB-USDT-PERP,LONG,2022-09-16 11:00:00+00:00,2022-09-16 12:00:00+00:00,0.8692092018846376,0.8678109517528907,19852.558250091577,1,REGIME_FLIP,BEAR,-31.93574357992975,19.852558250091576,-51.788301830021325,-0.0026086462599741993,99323.95392046229,0.006760460795377148
SUI-USDT-PERP,LONG,2022-09-16 11:00:00+00:00,2022-09-16 12:00:00+00:00,0.4346046009423188,0.43390547587644535,19875.148444458464,1,REGIME_FLIP,BEAR,-31.972083211610133,19.875148444458464,-51.8472316560686,-0.0026086462599741993,99272.10668880622,0.007278933111937804
ARB-USDT-PERP,LONG,2022-09-16 12:00:00+00:00,2022-09-16 13:00:00+00:00,0.8678109517528907,0.8682560229174101,19864.79078409246,1,REGIME_FLIP,BEAR,10.187985700517137,19.86479078409246,-9.676805083575323,-0.00048713350111517,99262.42988372264,0.007375701162773621
SUI-USDT-PERP,LONG,2022-09-16 12:00:00+00:00,2022-09-16 13:00:00+00:00,0.43390547587644535,0.43412801145870505,19854.421337761247,1,REGIME_FLIP,BEAR,10.182667558881873,19.85442133776125,-9.671753778879376,-0.00048713350111517014,99252.75812994376,0.007472418700562412
ARB-USDT-PERP,LONG,2022-09-18 09:00:00+00:00,2022-09-18 13:00:00+00:00,0.9099597267354702,0.919590980420003,19850.55162598875,4,TP,BULL,210.1034725720238,19.850551625988754,190.25292094603506,0.009584263678443677,99443.01105088979,0.005569889491102076
SUI-USDT-PERP,LONG,2022-09-18 09:00:00+00:00,2022-09-18 13:00:00+00:00,0.4549798633677351,0.4597954902100015,19850.55162598875,4,TP,BULL,210.1034725720238,19.850551625988754,190.25292094603506,0.009584263678443677,99633.26397183583,0.0036673602816417405
ARB-USDT-PERP,LONG,2022-09-18 13:00:00+00:00,2022-09-18 17:00:00+00:00,0.919590980420003,0.9167523387455667,19888.60221017796,4,SL,BULL,-61.39318053588449,19.88860221017796,-81.28178274606245,-0.004086852453837436,99551.98218908976,0.004480178109102417
SUI-USDT-PERP,LONG,2022-09-18 13:00:00+00:00,2022-09-18 17:00:00+00:00,0.4597954902100015,0.45837616937278336,19926.652794367168,4,SL,BULL,-61.510637075058895,19.92665279436717,-81.43728986942607,-0.004086852453837437,99470.54489922033,0.00529455100779669
ARB-USDT-PERP,LONG,2022-09-18 17:00:00+00:00,2022-09-19 00:00:00+00:00,0.9167523387455667,0.9080568600827408,19910.39643781795,7,SL,BULL,-188.85190697233858,19.91039643781795,-208.76230341015653,-0.010485090242283267,99261.78259581017,0.007382174041898251
SUI-USDT-PERP,LONG,2022-09-18 17:00:00+00:00,2022-09-19 00:00:00+00:00,0.45837616937278336,0.4540284300413704,19894.108979844066,7,SL,BULL,-188.69741896363888,19.894108979844066,-208.59152794348296,-0.010485090242283269,99053.19106786669,0.0094680893213331
ARB-USDT-PERP,LONG,2022-09-19 00:00:00+00:00,2022-09-19 11:00:00+00:00,0.9080568600827408,0.9003034214263175,19852.356519162036,11,SL,BULL,-169.50924025037688,31.244183324726443,-200.7534235751033,-0.010112322100468557,98852.43764429158,0.011475623557084182
SUI-USDT-PERP,LONG,2022-09-19 00:00:00+00:00,2022-09-19 11:00:00+00:00,0.4540284300413704,0.45015171071315874,19810.63821357334,11,SL,BULL,-169.15302872062486,31.178525910879777,-200.33155463150464,-0.010112322100468559,98652.10608966008,0.01347893910339917
ARB-USDT-PERP,LONG,2022-09-26 00:00:00+00:00,2022-09-26 01:00:00+00:00,0.8812332321300164,0.8786054946368367,19730.421217932017,1,REGIME_FLIP,BEAR,-58.83387700356099,19.730421217932015,-78.564298221493,-0.0039818865169533105,98573.54179143859,0.014264582085614092
SUI-USDT-PERP,LONG,2022-09-26 00:00:00+00:00,2022-09-26 01:00:00+00:00,0.4406166160650082,0.43930274731841834,19730.421217932017,1,REGIME_FLIP,BEAR,-58.83387700356099,19.730421217932015,-78.564298221493,-0.0039818865169533105,98494.9774932171,0.015050225067829015
ARB-USDT-PERP,LONG,2022-09-26 02:00:00+00:00,2022-09-26 03:00:00+00:00,0.8770757514230312,0.8822228937345932,19698.99549864342,1,REGIME_FLIP,BEAR,115.60407759743507,19.69899549864342,95.90508209879164,0.0048685265248878395,98590.88257531589,0.01409117424684111
SUI-USDT-PERP,LONG,2022-09-26 02:00:00+00:00,2022-09-26 03:00:00+00:00,0.4385378757115156,0.4411114468672966,19698.99549864342,1,REGIME_FLIP,BEAR,115.60407759743507,19.69899549864342,95.90508209879164,0.0048685265248878395,98686.78765741468,0.013132123425853206
ARB-USDT-PERP,LONG,2022-09-26 20:00:00+00:00,2022-09-26 21:00:00+00:00,0.879476918161514,0.880633470202185,19737.357531482936,1,REGIME_FLIP,BEAR,25.955520445276235,19.737357531482935,6.2181629137933,0.00031504536024514666,98693.00582032847,0.013069941796715284
SUI-USDT-PERP,LONG,2022-09-26 20:00:00+00:00,2022-09-26 21:00:00+00:00,0.439738459080757,0.4403167351010925,19737.357531482936,1,REGIME_FLIP,BEAR,25.955520445276235,19.737357531482935,6.2181629137933,0.00031504536024514666,98699.22398324226,0.013007760167577362
ARB-USDT-PERP,LONG,2022-09-26 21:00:00+00:00,2022-09-26 22:00:00+00:00,0.880633470202185,0.88205300396896,19738.601164065694,1,REGIME_FLIP,BEAR,31.81756293553519,19.738601164065695,12.078961771469494,0.0006119461896549871,98711.30294501374,0.0128869705498626
SUI-USDT-PERP,LONG,2022-09-26 21:00:00+00:00,2022-09-26 22:00:00+00:00,0.4403167351010925,0.44102650198448,19739.844796648453,1,REGIME_FLIP,BEAR,31.8195676043383,19.739844796648452,12.079722807689848,0.0006119461896549873,98723.38266782142,0.012766173321785755
ARB-USDT-PERP,LONG,2022-09-29 22:00:00+00:00,2022-09-29 23:00:00+00:00,0.8764088058782019,0.8806636559005506,19744.676533564285,1,REGIME_FLIP,BEAR,95.85781980581714,19.744676533564284,76.11314327225286,0.0038548690905554684,98799.49581109367,0.012005041889063286
SUI-USDT-PERP,LONG,2022-09-29 22:00:00+00:00,2022-09-29 23:00:00+00:00,0.43820440293910096,0.4403318279502753,19744.676533564285,1,REGIME_FLIP,BEAR,95.85781980581714,19.744676533564284,76.11314327225286,0.0038548690905554684,98875.60895436592,0.011243910456340819
ARB-USDT-PERP,LONG,2022-09-29 23:00:00+00:00,2022-09-30 00:00:00+00:00,0.8806636559005506,0.8768477520449823,19759.899162218735,1,SL,BEAR,-85.61937908252447,19.759899162218737,-105.3792782447432,-0.005332986640247142,98770.22967612118,0.012297703238788236
SUI-USDT-PERP,LONG,2022-09-29 23:00:00+00:00,2022-09-30 00:00:00+00:00,0.4403318279502753,0.43842387602249117,19775.121790873185,1,SL,BEAR,-85.68533852911365,19.775121790873186,-105.46046031998684,-0.005332986640247142,98664.76921580119,0.013352307841988077
ARB-USDT-PERP,LONG,2022-09-30 09:00:00+00:00,2022-09-30 10:00:00+00:00,0.8610664268156072,0.8605558917984534,19732.95384316024,1,REGIME_FLIP,BEAR,-11.699868459707787,19.732953843160242,-31.43282230286803,-0.0015929101417202752,98633.33639349832,0.013666636065016792
SUI-USDT-PERP,LONG,2022-09-30 09:00:00+00:00,2022-09-30 10:00:00+00:00,0.4305332134078036,0.4302779458992267,19732.95384316024,1,REGIME_FLIP,BEAR,-11.699868459707787,19.732953843160242,-31.43282230286803,-0.0015929101417202752,98601.90357119545,0.013980964288045506
ARB-USDT-PERP,LONG,2022-09-30 10:00:00+00:00,2022-09-30 11:00:00+00:00,0.8605558917984534,0.8575613202019025,19726.667278699664,1,SL,BEAR,-68.6450677874618,19.726667278699665,-88.37173506616146,-0.00447981069572674,98513.53183612929,0.014864681638707116
